0 1 2 3 6 9  99999999 -1755224973202013503 0
4 6 9  99999999 1010936747259 0
0 4 6 9  99999999 1013969557500777 0
1 4 6 9  99999999 1018013304489813 0
0 1 4 6 9  99999999 1021067344403282439 0
2 4 6 9  99999999 3373495925603283 0
0 2 4 6 9  99999999 -2765298277856424356 0
1 2 4 6 9  99999999 -2751804294154011224 0
0 1 2 4 6 9  99999999 802989328722967188 0
3 4 6 9  99999999 10122509650304367 0
0 3 4 6 9  99999999 597228069367957653 0
1 3 4 6 9  99999999 536493011466131451 0
0 1 3 4 6 9  99999999 -5240400470917347623 0
2 3 4 6 9  99999999 3034241246883086652 0
0 2 3 4 6 9  99999999 701707520243113533 0
1 2 3 4 6 9  99999999 943004112654145235 0
0 1 2 3 4 6 9  99999999 891031276397742051 0
5 6 9  99999999 1012147570791 0
0 5 6 9  99999999 1015184013503373 0
1 5 6 9  99999999 1019232603786537 0
0 1 5 6 9  99999999 1022290301597896611 0
2 5 6 9  99999999 3377536443729567 0
0 2 5 6 9  99999999 -2761245638175761504 0
1 2 5 6 9  99999999 -2747735492400843236 0
0 1 2 5 6 9  99999999 -1264917204086058053 0
3 5 6 9  99999999 10134633626330283 0
0 3 5 6 9  99999999 597943383953486697 0
1 3 5 6 9  99999999 537135582195504999 0
0 1 3 5 6 9  99999999 -5202488797884308291 0
2 3 5 6 9  99999999 -3074215736354948861 0
0 2 3 5 6 9  99999999 -3060202399082983844 0
1 2 3 5 6 9  99999999 -3061652054662842294 0
0 1 2 3 5 6 9  99999999 -6956835537746089233 0
4 5 6 9  99999999 10140706511755029 0
0 4 5 6 9  99999999 -8275615442419257529 0
1 4 5 6 9  99999999 -8235052616372237413 0
0 1 4 5 6 9  99999999 4383570800524998729 0
2 4 5 6 9  99999999 -3053950517692571459 0
0 2 4 5 6 9  99999999 2858559029590815363 0
1 2 4 5 6 9  99999999 -2612477094482569639 0
0 1 2 4 5 6 9  99999999 -876867299261018445 0
3 4 5 6 9  99999999 -9141570140054204319 0
0 3 4 5 6 9  99999999 -4397060125621057957 0
1 3 4 5 6 9  99999999 -4887871506424486891 0
0 1 3 4 5 6 9  99999999 6763486300308099287 0
2 3 4 5 6 9  99999999 -1961322409553870533 0
0 2 3 4 5 6 9  99999999 -5037557721421051751 0
1 2 3 4 5 6 9  99999999 2243458911967390482 0
0 1 2 3 4 5 6 9  99999999 8736142203382020179 0
7 9  99999999 100962279 0
0 7 9  99999999 101265165837 0
1 7 9  99999999 101669014953 0
0 1 7 9  99999999 101974021997859 0
